task_id,department,asset_id,asset_type,corridor_id,location_km,defect_or_task,severity,criticality_1_5,safety_risk_1_5,operational_impact_1_5,overdue_days,estimated_duration_min,required_team_size,possession_required,maintenance_type,status,urgency_score,risk_score,asset_downtime_risk,maintenance_priority_score
TSK-02247,Signal & Telecom,AST-02247,Interlocking Switch,COR-072,195.6,OHE cantilever insulator cleaning & height adjustment,Critical,5,3,4,30,120,9,No,Preventive,Pending,65.9,49.6,Medium,57.8
TSK-02248,Signal & Telecom,AST-02248,Point & Crossing,COR-081,398.1,Point machine lubrication & locking calibration,Major,4,5,2,36,120,8,Yes,Preventive,Completed,90.8,28.4,Low,59.6
TSK-02249,Operating,AST-02249,Point & Crossing,COR-046,356.1,Rail flaw ultrasonics check required,Minor,3,3,1,16,180,7,No,Breakdown,Completed,91.3,93.8,High,92.5
TSK-02250,Electrical,AST-02250,Point & Crossing,COR-011,267.2,"Track tamping, ballast packing & alignment check",Minor,5,1,1,10,360,11,No,Emergency,In Progress,26.9,62.2,High,44.5
TSK-02251,Electrical,AST-02251,Bridge Span,COR-081,353.5,Point machine lubrication & locking calibration,Minor,2,2,2,18,240,5,Yes,Breakdown,Completed,34.6,59.6,Low,47.1
TSK-02252,Electrical,AST-02252,Bridge Span,COR-055,293.5,Multi-aspect LED signal bulb replacement & relay test,Minor,5,4,2,12,120,3,Yes,Emergency,Scheduled,97.7,88.6,High,93.2
TSK-02253,Signal & Telecom,AST-02253,Track Circuit,COR-076,11.6,Level crossing gate motor overhaul & interlock test,Major,1,5,4,25,120,9,Yes,Preventive,Pending,55.3,85.8,High,70.5
TSK-02254,Electrical,AST-02254,Level Crossing Gate,COR-086,316.9,Point machine lubrication & locking calibration,Critical,1,2,3,1,180,3,Yes,Corrective,In Progress,30.3,32.8,Low,31.5
TSK-02255,Engineering,AST-02255,Axle Counter,COR-098,303.4,Level crossing gate motor overhaul & interlock test,Moderate,5,2,2,40,240,10,Yes,Breakdown,In Progress,47.2,31.4,Low,39.3
TSK-02256,Electrical,AST-02256,Interlocking Switch,COR-010,248.3,Bridge expansion joint inspection & bolt tightening,Minor,3,2,4,31,120,10,Yes,Preventive,Completed,79.0,67.6,High,73.3
TSK-02257,Signal & Telecom,AST-02257,Track Circuit,COR-076,151.8,OHE cantilever insulator cleaning & height adjustment,Moderate,4,3,3,8,360,8,Yes,Corrective,In Progress,44.9,83.9,Medium,64.4
TSK-02258,Operating,AST-02258,Bridge Span,COR-002,339.7,Axle counter digital sensor reset test,Critical,5,3,2,8,60,10,Yes,Corrective,Scheduled,28.1,27.2,Medium,27.6
TSK-02259,Electrical,AST-02259,Track Circuit,COR-100,279.4,OHE cantilever insulator cleaning & height adjustment,Minor,2,3,5,6,240,3,No,Breakdown,Scheduled,45.4,19.8,High,32.6
TSK-02260,Signal & Telecom,AST-02260,OHE Catenary,COR-032,158.1,"Track tamping, ballast packing & alignment check",Critical,5,2,3,7,120,8,Yes,Breakdown,In Progress,40.6,31.7,High,36.1
TSK-02261,Operating,AST-02261,Point & Crossing,COR-036,137.4,Axle counter digital sensor reset test,Critical,4,5,5,36,120,11,Yes,Emergency,In Progress,34.0,68.7,Low,51.4
TSK-02262,Signal & Telecom,AST-02262,Signal - Multi Aspect,COR-046,267.9,Multi-aspect LED signal bulb replacement & relay test,Major,4,3,4,4,240,10,Yes,Preventive,Scheduled,46.3,27.9,Low,37.1
TSK-02263,Electrical,AST-02263,Level Crossing Gate,COR-069,298.2,"Track tamping, ballast packing & alignment check",Moderate,1,4,1,6,240,7,Yes,Preventive,Pending,22.2,21.0,High,21.6
TSK-02264,Electrical,AST-02264,Level Crossing Gate,COR-098,52.3,"Track tamping, ballast packing & alignment check",Major,1,1,2,12,120,7,Yes,Preventive,Scheduled,76.9,33.4,High,55.2
TSK-02265,Operating,AST-02265,Interlocking Switch,COR-046,331.0,Bridge expansion joint inspection & bolt tightening,Major,3,1,4,39,120,9,Yes,Corrective,Scheduled,46.6,20.5,High,33.5
TSK-02266,Signal & Telecom,AST-02266,Bridge Span,COR-093,5.3,Point machine lubrication & locking calibration,Minor,5,4,2,25,360,3,Yes,Emergency,Completed,94.9,94.6,Medium,94.8
TSK-02267,Engineering,AST-02267,OHE Catenary,COR-011,319.1,"Track tamping, ballast packing & alignment check",Major,4,4,3,0,180,11,Yes,Preventive,In Progress,48.5,66.1,High,57.3
TSK-02268,Signal & Telecom,AST-02268,Interlocking Switch,COR-040,324.8,OHE cantilever insulator cleaning & height adjustment,Major,4,3,5,13,240,8,Yes,Corrective,Completed,91.4,61.8,Medium,76.6
TSK-02269,Engineering,AST-02269,Bridge Span,COR-011,338.3,"Track tamping, ballast packing & alignment check",Critical,1,2,2,5,60,5,Yes,Corrective,Pending,52.0,95.2,High,73.6
TSK-02270,Engineering,AST-02270,Point & Crossing,COR-043,365.9,Bridge expansion joint inspection & bolt tightening,Critical,2,4,5,26,240,8,Yes,Preventive,Completed,50.9,34.3,High,42.6
TSK-02271,Electrical,AST-02271,Axle Counter,COR-034,115.9,"Track tamping, ballast packing & alignment check",Critical,3,5,4,4,180,11,Yes,Emergency,Pending,55.7,72.6,Medium,64.2
TSK-02272,Operating,AST-02272,Interlocking Switch,COR-082,294.8,Level crossing gate motor overhaul & interlock test,Critical,1,5,1,27,180,7,No,Emergency,Completed,73.8,45.2,Low,59.5
TSK-02273,Engineering,AST-02273,Signal - Multi Aspect,COR-077,290.8,Multi-aspect LED signal bulb replacement & relay test,Moderate,3,5,5,30,360,4,Yes,Preventive,In Progress,82.9,69.9,Medium,76.4
TSK-02274,Electrical,AST-02274,Signal - Multi Aspect,COR-042,304.1,Level crossing gate motor overhaul & interlock test,Major,2,2,4,20,360,5,Yes,Corrective,Pending,61.0,48.9,High,55.0
TSK-02275,Engineering,AST-02275,Track Circuit,COR-021,163.5,Rail flaw ultrasonics check required,Critical,2,4,1,31,240,4,Yes,Preventive,In Progress,80.0,80.5,High,80.2
TSK-02276,Operating,AST-02276,Point & Crossing,COR-072,256.8,"Track tamping, ballast packing & alignment check",Major,4,3,2,45,360,11,Yes,Emergency,Completed,27.6,41.2,High,34.4
TSK-02277,Electrical,AST-02277,Level Crossing Gate,COR-048,30.6,Point machine lubrication & locking calibration,Minor,3,3,4,35,60,9,Yes,Corrective,Completed,75.7,71.1,Low,73.4
TSK-02278,Engineering,AST-02278,OHE Catenary,COR-055,385.6,Rail flaw ultrasonics check required,Minor,2,3,1,9,120,5,No,Breakdown,Completed,30.3,39.8,High,35.0
TSK-02279,Electrical,AST-02279,Level Crossing Gate,COR-057,188.0,Axle counter digital sensor reset test,Major,3,3,5,22,180,4,No,Preventive,Scheduled,43.9,67.2,Medium,55.5
TSK-02280,Signal & Telecom,AST-02280,Interlocking Switch,COR-082,351.2,Point machine lubrication & locking calibration,Major,4,5,1,44,240,9,Yes,Preventive,In Progress,45.4,18.7,High,32.0
TSK-02281,Signal & Telecom,AST-02281,Track Circuit,COR-093,3.1,Axle counter digital sensor reset test,Major,5,5,2,36,180,4,No,Emergency,In Progress,28.3,95.1,Medium,61.7
TSK-02282,Electrical,AST-02282,OHE Catenary,COR-076,195.9,Multi-aspect LED signal bulb replacement & relay test,Critical,1,2,1,1,360,8,Yes,Breakdown,Pending,33.7,88.2,Medium,61.0
TSK-02283,Signal & Telecom,AST-02283,Level Crossing Gate,COR-099,122.3,OHE cantilever insulator cleaning & height adjustment,Critical,2,3,1,24,240,8,No,Preventive,Completed,92.0,66.0,High,79.0
TSK-02284,Electrical,AST-02284,Axle Counter,COR-060,404.1,"Track tamping, ballast packing & alignment check",Critical,3,1,5,33,60,8,No,Breakdown,Scheduled,55.6,70.8,High,63.2
TSK-02285,Electrical,AST-02285,Axle Counter,COR-060,91.5,Rail flaw ultrasonics check required,Major,2,3,5,29,180,9,Yes,Breakdown,In Progress,47.3,81.7,High,64.5
TSK-02286,Operating,AST-02286,Axle Counter,COR-096,251.9,Level crossing gate motor overhaul & interlock test,Minor,3,2,4,44,180,11,Yes,Corrective,Scheduled,69.5,33.3,High,51.4
TSK-02287,Engineering,AST-02287,Interlocking Switch,COR-100,82.8,Rail flaw ultrasonics check required,Moderate,2,5,1,7,240,12,No,Preventive,Scheduled,37.4,49.1,Medium,43.2
TSK-02288,Engineering,AST-02288,Level Crossing Gate,COR-033,169.4,Rail flaw ultrasonics check required,Critical,4,1,2,35,180,10,Yes,Preventive,Pending,24.9,70.6,Medium,47.8
TSK-02289,Electrical,AST-02289,OHE Catenary,COR-016,234.4,Multi-aspect LED signal bulb replacement & relay test,Moderate,5,2,1,26,60,4,Yes,Emergency,Completed,52.2,33.0,High,42.6
TSK-02290,Engineering,AST-02290,Point & Crossing,COR-060,12.6,Rail flaw ultrasonics check required,Major,4,4,2,28,120,3,Yes,Breakdown,Completed,58.8,73.0,Medium,65.9
TSK-02291,Operating,AST-02291,Signal - Multi Aspect,COR-096,16.7,Rail flaw ultrasonics check required,Moderate,5,4,4,22,360,4,Yes,Corrective,Completed,31.0,52.7,High,41.9
TSK-02292,Electrical,AST-02292,Track Circuit,COR-041,286.2,Multi-aspect LED signal bulb replacement & relay test,Moderate,2,5,4,6,120,12,Yes,Preventive,Pending,89.1,36.4,Medium,62.8
TSK-02293,Operating,AST-02293,Bridge Span,COR-052,284.9,"Track tamping, ballast packing & alignment check",Moderate,2,1,3,28,240,9,Yes,Breakdown,Completed,98.3,87.9,High,93.1
TSK-02294,Engineering,AST-02294,Bridge Span,COR-063,26.2,Rail flaw ultrasonics check required,Minor,5,4,4,44,120,7,Yes,Preventive,Completed,69.7,64.6,High,67.2
TSK-02295,Engineering,AST-02295,OHE Catenary,COR-010,115.7,Bridge expansion joint inspection & bolt tightening,Moderate,4,5,2,26,180,10,Yes,Breakdown,In Progress,80.9,58.3,High,69.6
TSK-02296,Electrical,AST-02296,OHE Catenary,COR-062,299.7,Bridge expansion joint inspection & bolt tightening,Critical,4,2,2,6,360,11,Yes,Breakdown,Scheduled,70.7,43.3,Medium,57.0
TSK-02297,Engineering,AST-02297,Point & Crossing,COR-059,283.5,Level crossing gate motor overhaul & interlock test,Major,3,4,3,13,360,6,Yes,Breakdown,Pending,76.5,22.1,High,49.3
TSK-02298,Signal & Telecom,AST-02298,Point & Crossing,COR-044,77.9,OHE cantilever insulator cleaning & height adjustment,Minor,4,4,3,12,240,9,Yes,Breakdown,Scheduled,45.9,21.7,High,33.8
TSK-02299,Operating,AST-02299,Bridge Span,COR-075,45.3,OHE cantilever insulator cleaning & height adjustment,Minor,2,2,1,24,120,12,No,Breakdown,Pending,29.1,34.3,Medium,31.7
TSK-02300,Operating,AST-02300,Track Circuit,COR-011,387.9,OHE cantilever insulator cleaning & height adjustment,Critical,5,2,5,6,180,4,Yes,Corrective,Pending,22.5,40.3,Low,31.4
TSK-02301,Operating,AST-02301,Axle Counter,COR-034,265.0,Axle counter digital sensor reset test,Minor,3,3,3,39,120,7,Yes,Emergency,Pending,95.4,88.2,High,91.8
TSK-02302,Engineering,AST-02302,Signal - Multi Aspect,COR-099,289.4,OHE cantilever insulator cleaning & height adjustment,Moderate,3,5,5,3,60,3,No,Breakdown,In Progress,46.5,86.6,Low,66.5
TSK-02303,Engineering,AST-02303,Track Circuit,COR-027,233.0,Axle counter digital sensor reset test,Minor,5,5,5,4,120,5,Yes,Breakdown,Scheduled,75.9,70.1,High,73.0
TSK-02304,Engineering,AST-02304,Interlocking Switch,COR-069,327.5,"Track tamping, ballast packing & alignment check",Minor,4,3,3,37,60,9,Yes,Preventive,Pending,77.2,60.1,Medium,68.7
TSK-02305,Signal & Telecom,AST-02305,OHE Catenary,COR-032,137.3,Level crossing gate motor overhaul & interlock test,Moderate,1,5,5,45,240,12,No,Preventive,Scheduled,38.0,35.7,Medium,36.9
TSK-02306,Engineering,AST-02306,OHE Catenary,COR-066,203.3,Axle counter digital sensor reset test,Major,3,1,1,43,360,7,Yes,Breakdown,Scheduled,76.4,33.9,Medium,55.2
TSK-02307,Engineering,AST-02307,Bridge Span,COR-070,101.2,Point machine lubrication & locking calibration,Minor,2,5,2,13,180,9,Yes,Emergency,Completed,41.1,73.0,High,57.0
TSK-02308,Signal & Telecom,AST-02308,Bridge Span,COR-013,210.6,OHE cantilever insulator cleaning & height adjustment,Minor,5,5,3,34,360,9,No,Corrective,Completed,46.3,56.2,Low,51.2
TSK-02309,Signal & Telecom,AST-02309,Bridge Span,COR-006,96.5,Point machine lubrication & locking calibration,Moderate,2,2,4,23,360,11,No,Emergency,Pending,30.2,32.3,High,31.2
TSK-02310,Engineering,AST-02310,Interlocking Switch,COR-076,258.2,OHE cantilever insulator cleaning & height adjustment,Major,3,2,2,39,240,6,Yes,Corrective,In Progress,25.0,28.1,Low,26.6
TSK-02311,Engineering,AST-02311,Interlocking Switch,COR-073,302.7,Multi-aspect LED signal bulb replacement & relay test,Minor,1,1,3,44,240,8,No,Emergency,Pending,76.6,90.1,High,83.3
TSK-02312,Engineering,AST-02312,Signal - Multi Aspect,COR-095,362.9,Bridge expansion joint inspection & bolt tightening,Moderate,1,1,2,17,60,3,Yes,Preventive,Completed,56.8,75.9,Medium,66.3
TSK-02313,Electrical,AST-02313,Level Crossing Gate,COR-023,51.3,Point machine lubrication & locking calibration,Critical,2,5,4,45,120,4,Yes,Breakdown,Scheduled,22.4,15.6,Low,19.0
TSK-02314,Engineering,AST-02314,Bridge Span,COR-018,74.8,Axle counter digital sensor reset test,Minor,1,2,1,44,240,9,Yes,Preventive,Completed,69.8,86.3,Medium,78.0
TSK-02315,Signal & Telecom,AST-02315,Point & Crossing,COR-078,98.9,Level crossing gate motor overhaul & interlock test,Major,3,5,4,0,60,4,No,Corrective,In Progress,91.5,41.0,Low,66.2
TSK-02316,Electrical,AST-02316,Bridge Span,COR-058,102.0,Axle counter digital sensor reset test,Minor,1,4,1,24,120,5,Yes,Preventive,Completed,76.8,85.9,Low,81.3
TSK-02317,Engineering,AST-02317,Signal - Multi Aspect,COR-021,309.0,Level crossing gate motor overhaul & interlock test,Moderate,1,4,3,31,360,11,Yes,Emergency,In Progress,37.2,95.9,Medium,66.6
TSK-02318,Operating,AST-02318,Axle Counter,COR-073,243.7,"Track tamping, ballast packing & alignment check",Critical,3,2,1,25,60,4,No,Corrective,Pending,70.5,72.5,Low,71.5
TSK-02319,Engineering,AST-02319,Level Crossing Gate,COR-025,15.7,OHE cantilever insulator cleaning & height adjustment,Critical,4,5,1,3,360,8,No,Preventive,Scheduled,53.7,76.7,Low,65.2
TSK-02320,Electrical,AST-02320,Point & Crossing,COR-012,404.6,Level crossing gate motor overhaul & interlock test,Minor,2,3,2,28,60,9,Yes,Corrective,Pending,83.6,54.2,Medium,68.9
TSK-02321,Engineering,AST-02321,Interlocking Switch,COR-097,235.0,OHE cantilever insulator cleaning & height adjustment,Critical,4,3,3,3,120,11,Yes,Breakdown,Completed,80.8,48.2,High,64.5
TSK-02322,Electrical,AST-02322,OHE Catenary,COR-042,395.6,Multi-aspect LED signal bulb replacement & relay test,Critical,5,3,5,23,240,5,No,Breakdown,In Progress,96.9,23.2,Low,60.1
TSK-02323,Signal & Telecom,AST-02323,Point & Crossing,COR-029,76.0,Rail flaw ultrasonics check required,Minor,4,1,5,35,240,5,No,Breakdown,Completed,96.1,45.0,High,70.5
TSK-02324,Engineering,AST-02324,Axle Counter,COR-100,2.1,Axle counter digital sensor reset test,Minor,5,4,2,41,180,12,No,Preventive,Pending,36.2,95.6,High,65.9
TSK-02325,Electrical,AST-02325,Signal - Multi Aspect,COR-050,10.2,"Track tamping, ballast packing & alignment check",Moderate,3,1,3,44,360,4,Yes,Corrective,Pending,24.5,17.1,Low,20.8
TSK-02326,Operating,AST-02326,Interlocking Switch,COR-053,349.8,Rail flaw ultrasonics check required,Minor,1,3,2,18,360,12,Yes,Preventive,Pending,50.6,49.7,High,50.2
TSK-02327,Electrical,AST-02327,Interlocking Switch,COR-054,144.7,OHE cantilever insulator cleaning & height adjustment,Moderate,5,1,3,0,180,7,Yes,Preventive,In Progress,44.2,95.3,Medium,69.8
TSK-02328,Electrical,AST-02328,Interlocking Switch,COR-035,396.3,OHE cantilever insulator cleaning & height adjustment,Moderate,2,2,2,34,240,7,No,Breakdown,Scheduled,85.2,52.7,High,69.0
TSK-02329,Operating,AST-02329,Point & Crossing,COR-049,304.5,OHE cantilever insulator cleaning & height adjustment,Major,2,2,2,11,240,12,Yes,Corrective,Completed,61.4,29.9,Low,45.6
TSK-02330,Operating,AST-02330,Bridge Span,COR-005,263.2,OHE cantilever insulator cleaning & height adjustment,Moderate,4,3,1,16,180,4,Yes,Corrective,Completed,35.4,27.0,Medium,31.2
TSK-02331,Signal & Telecom,AST-02331,Bridge Span,COR-049,95.1,Bridge expansion joint inspection & bolt tightening,Minor,2,3,1,10,240,3,No,Emergency,Scheduled,44.9,32.4,High,38.6
TSK-02332,Signal & Telecom,AST-02332,Level Crossing Gate,COR-046,53.5,Level crossing gate motor overhaul & interlock test,Moderate,4,3,5,21,120,10,Yes,Corrective,Scheduled,38.6,79.1,Low,58.8
TSK-02333,Signal & Telecom,AST-02333,OHE Catenary,COR-030,82.5,Bridge expansion joint inspection & bolt tightening,Major,2,3,1,45,360,3,No,Breakdown,Completed,31.1,72.3,Medium,51.7
TSK-02334,Operating,AST-02334,Interlocking Switch,COR-003,331.2,Multi-aspect LED signal bulb replacement & relay test,Moderate,1,3,4,6,180,4,Yes,Corrective,Completed,32.9,81.9,High,57.4
TSK-02335,Signal & Telecom,AST-02335,Axle Counter,COR-025,144.5,Bridge expansion joint inspection & bolt tightening,Major,4,5,1,26,120,3,Yes,Preventive,Pending,83.9,20.1,Medium,52.0
TSK-02336,Operating,AST-02336,OHE Catenary,COR-092,350.9,Bridge expansion joint inspection & bolt tightening,Critical,4,3,5,36,360,6,Yes,Emergency,Scheduled,73.1,49.5,Medium,61.3
TSK-02337,Engineering,AST-02337,OHE Catenary,COR-015,404.1,Point machine lubrication & locking calibration,Major,5,2,1,6,360,3,Yes,Breakdown,Pending,89.8,51.2,High,70.5
TSK-02338,Electrical,AST-02338,Point & Crossing,COR-032,409.3,Rail flaw ultrasonics check required,Moderate,3,3,2,42,240,3,Yes,Preventive,In Progress,72.3,92.3,High,82.3
TSK-02339,Operating,AST-02339,Level Crossing Gate,COR-004,285.7,Multi-aspect LED signal bulb replacement & relay test,Moderate,5,4,5,35,60,5,Yes,Preventive,Completed,47.9,58.7,High,53.3
TSK-02340,Electrical,AST-02340,Signal - Multi Aspect,COR-072,169.7,Rail flaw ultrasonics check required,Major,2,1,2,10,120,6,Yes,Breakdown,Completed,42.2,78.5,Medium,60.4
TSK-02341,Signal & Telecom,AST-02341,Level Crossing Gate,COR-067,209.8,OHE cantilever insulator cleaning & height adjustment,Critical,1,4,3,3,180,5,Yes,Breakdown,In Progress,56.2,71.9,Low,64.1
TSK-02342,Operating,AST-02342,Signal - Multi Aspect,COR-086,243.4,OHE cantilever insulator cleaning & height adjustment,Major,1,5,1,34,240,5,No,Breakdown,In Progress,21.7,54.3,Low,38.0
TSK-02343,Operating,AST-02343,Point & Crossing,COR-001,10.1,OHE cantilever insulator cleaning & height adjustment,Major,1,5,4,36,60,8,No,Preventive,Scheduled,54.2,31.9,Low,43.0
TSK-02344,Signal & Telecom,AST-02344,Point & Crossing,COR-088,68.6,Rail flaw ultrasonics check required,Critical,1,3,5,10,60,6,No,Corrective,Pending,84.8,75.0,Low,79.9
TSK-02345,Operating,AST-02345,Signal - Multi Aspect,COR-036,223.5,Axle counter digital sensor reset test,Minor,1,5,3,36,360,10,Yes,Emergency,Completed,56.7,38.2,Low,47.5
TSK-02346,Engineering,AST-02346,Axle Counter,COR-100,42.8,OHE cantilever insulator cleaning & height adjustment,Moderate,5,2,3,22,180,5,No,Corrective,In Progress,79.9,24.6,Low,52.2
TSK-02347,Electrical,AST-02347,Level Crossing Gate,COR-038,309.2,"Track tamping, ballast packing & alignment check",Critical,2,5,4,15,120,10,No,Breakdown,Pending,78.2,62.9,Low,70.5
TSK-02348,Operating,AST-02348,OHE Catenary,COR-069,297.6,Multi-aspect LED signal bulb replacement & relay test,Minor,1,2,5,22,60,9,No,Breakdown,Scheduled,33.2,95.5,High,64.3
TSK-02349,Operating,AST-02349,Track Circuit,COR-063,33.5,Level crossing gate motor overhaul & interlock test,Critical,5,3,3,14,240,11,Yes,Corrective,In Progress,52.2,39.9,Low,46.0
TSK-02350,Electrical,AST-02350,Signal - Multi Aspect,COR-006,303.9,Multi-aspect LED signal bulb replacement & relay test,Minor,4,2,3,0,60,12,Yes,Emergency,Pending,78.6,90.8,Medium,84.7
TSK-02351,Signal & Telecom,AST-02351,Signal - Multi Aspect,COR-006,51.8,Point machine lubrication & locking calibration,Moderate,5,5,3,37,120,8,Yes,Corrective,Pending,63.7,58.2,Low,61.0
TSK-02352,Engineering,AST-02352,Level Crossing Gate,COR-035,242.5,"Track tamping, ballast packing & alignment check",Minor,4,2,5,45,60,5,Yes,Corrective,In Progress,53.6,85.2,High,69.4
TSK-02353,Electrical,AST-02353,Axle Counter,COR-016,34.3,Axle counter digital sensor reset test,Critical,5,4,2,28,360,5,No,Emergency,Pending,77.1,72.2,High,74.7
TSK-02354,Operating,AST-02354,Axle Counter,COR-039,292.9,Point machine lubrication & locking calibration,Minor,3,4,5,17,360,10,No,Emergency,Pending,45.7,73.2,High,59.5
TSK-02355,Signal & Telecom,AST-02355,Bridge Span,COR-045,253.3,Bridge expansion joint inspection & bolt tightening,Critical,5,2,3,7,60,5,Yes,Emergency,Pending,36.6,79.0,Medium,57.8
TSK-02356,Signal & Telecom,AST-02356,Level Crossing Gate,COR-098,388.2,Multi-aspect LED signal bulb replacement & relay test,Major,4,4,5,33,60,10,Yes,Preventive,In Progress,20.7,57.0,Low,38.9
TSK-02357,Electrical,AST-02357,Axle Counter,COR-080,376.8,Level crossing gate motor overhaul & interlock test,Major,2,4,1,40,180,10,No,Preventive,In Progress,76.8,63.0,High,69.9
TSK-02358,Electrical,AST-02358,Bridge Span,COR-029,375.8,Multi-aspect LED signal bulb replacement & relay test,Minor,1,3,1,41,180,3,Yes,Preventive,In Progress,31.8,80.7,Low,56.2
TSK-02359,Signal & Telecom,AST-02359,Interlocking Switch,COR-038,198.8,Bridge expansion joint inspection & bolt tightening,Critical,1,3,5,0,120,12,Yes,Emergency,Scheduled,78.3,79.7,Medium,79.0
TSK-02360,Operating,AST-02360,Signal - Multi Aspect,COR-090,150.1,"Track tamping, ballast packing & alignment check",Minor,4,2,5,3,360,6,No,Breakdown,Completed,21.2,23.7,Medium,22.4
TSK-02361,Electrical,AST-02361,Axle Counter,COR-077,66.3,Point machine lubrication & locking calibration,Critical,4,4,4,16,60,7,Yes,Corrective,Pending,43.9,39.9,Low,41.9
TSK-02362,Engineering,AST-02362,Point & Crossing,COR-087,140.8,Point machine lubrication & locking calibration,Moderate,1,5,4,17,180,12,No,Emergency,Scheduled,53.6,56.9,High,55.2
TSK-02363,Engineering,AST-02363,Interlocking Switch,COR-034,207.4,Point machine lubrication & locking calibration,Moderate,4,4,4,15,360,7,Yes,Breakdown,In Progress,54.3,19.3,High,36.8
TSK-02364,Signal & Telecom,AST-02364,Interlocking Switch,COR-079,335.2,Level crossing gate motor overhaul & interlock test,Critical,3,3,2,7,240,7,Yes,Emergency,Completed,86.9,68.4,Low,77.7
TSK-02365,Signal & Telecom,AST-02365,Track Circuit,COR-098,272.6,Level crossing gate motor overhaul & interlock test,Critical,4,5,2,42,120,5,No,Breakdown,In Progress,68.0,50.6,Medium,59.3
TSK-02366,Engineering,AST-02366,OHE Catenary,COR-022,71.5,Rail flaw ultrasonics check required,Minor,2,2,5,22,240,9,Yes,Corrective,In Progress,83.1,53.7,Medium,68.4
TSK-02367,Signal & Telecom,AST-02367,OHE Catenary,COR-078,237.2,Level crossing gate motor overhaul & interlock test,Moderate,1,1,5,32,180,7,Yes,Corrective,Scheduled,66.9,76.7,High,71.8
TSK-02368,Operating,AST-02368,Track Circuit,COR-065,206.4,Bridge expansion joint inspection & bolt tightening,Moderate,3,5,3,34,180,9,Yes,Preventive,Completed,86.0,62.7,High,74.3
TSK-02369,Operating,AST-02369,Bridge Span,COR-077,62.0,Axle counter digital sensor reset test,Critical,1,5,3,43,240,3,Yes,Breakdown,In Progress,52.6,82.7,Medium,67.7
TSK-02370,Electrical,AST-02370,OHE Catenary,COR-030,287.9,"Track tamping, ballast packing & alignment check",Minor,1,3,5,32,60,4,Yes,Preventive,Completed,52.7,68.4,Low,60.6
TSK-02371,Operating,AST-02371,Track Circuit,COR-072,292.1,OHE cantilever insulator cleaning & height adjustment,Major,2,2,1,7,180,7,No,Emergency,Pending,78.3,51.2,Medium,64.8
TSK-02372,Electrical,AST-02372,OHE Catenary,COR-044,105.9,Point machine lubrication & locking calibration,Critical,2,5,2,44,60,8,No,Preventive,Scheduled,69.1,71.2,High,70.2
TSK-02373,Electrical,AST-02373,Track Circuit,COR-098,200.8,"Track tamping, ballast packing & alignment check",Moderate,5,2,1,36,240,5,No,Breakdown,Pending,79.1,34.0,High,56.5
TSK-02374,Engineering,AST-02374,Axle Counter,COR-042,384.8,Multi-aspect LED signal bulb replacement & relay test,Moderate,2,3,5,5,120,12,Yes,Breakdown,Scheduled,97.0,65.1,Medium,81.0
TSK-02375,Electrical,AST-02375,Signal - Multi Aspect,COR-046,137.5,Axle counter digital sensor reset test,Minor,1,5,3,40,240,9,Yes,Emergency,Scheduled,42.5,79.7,Low,61.1
TSK-02376,Electrical,AST-02376,Interlocking Switch,COR-051,129.7,Point machine lubrication & locking calibration,Critical,5,5,4,26,120,11,Yes,Preventive,Completed,64.1,20.9,Low,42.5
TSK-02377,Operating,AST-02377,Point & Crossing,COR-099,218.1,Rail flaw ultrasonics check required,Moderate,2,3,3,33,180,4,Yes,Emergency,Scheduled,26.7,56.3,High,41.5
TSK-02378,Engineering,AST-02378,Interlocking Switch,COR-079,300.0,Bridge expansion joint inspection & bolt tightening,Critical,3,5,5,12,60,6,No,Breakdown,Scheduled,41.8,65.3,High,53.5
TSK-02379,Signal & Telecom,AST-02379,Bridge Span,COR-023,402.8,OHE cantilever insulator cleaning & height adjustment,Minor,2,5,1,32,60,10,Yes,Corrective,Completed,82.4,32.8,High,57.6
TSK-02380,Electrical,AST-02380,Signal - Multi Aspect,COR-092,182.8,Point machine lubrication & locking calibration,Minor,1,1,3,37,180,9,No,Preventive,Completed,42.3,76.6,High,59.4
TSK-02381,Engineering,AST-02381,Track Circuit,COR-041,255.8,Level crossing gate motor overhaul & interlock test,Critical,5,4,4,36,180,11,Yes,Emergency,Scheduled,43.5,45.2,High,44.4
TSK-02382,Signal & Telecom,AST-02382,Interlocking Switch,COR-088,92.2,Level crossing gate motor overhaul & interlock test,Critical,1,2,1,28,120,7,Yes,Breakdown,In Progress,31.8,72.1,Low,51.9
TSK-02383,Engineering,AST-02383,Bridge Span,COR-007,308.3,Multi-aspect LED signal bulb replacement & relay test,Moderate,4,4,1,18,180,10,Yes,Preventive,Completed,73.3,50.7,High,62.0
TSK-02384,Operating,AST-02384,Interlocking Switch,COR-085,49.9,Multi-aspect LED signal bulb replacement & relay test,Moderate,5,3,1,23,180,8,Yes,Preventive,Completed,89.3,26.9,High,58.1
TSK-02385,Operating,AST-02385,Axle Counter,COR-077,21.1,Bridge expansion joint inspection & bolt tightening,Minor,1,4,1,30,360,12,Yes,Emergency,In Progress,28.2,57.2,High,42.7
TSK-02386,Operating,AST-02386,Track Circuit,COR-062,75.6,Axle counter digital sensor reset test,Moderate,4,1,2,38,60,11,No,Corrective,In Progress,80.1,70.5,High,75.3
